camera,id,pixel_x,pixel_y,epsg4326_x,epsg4326_y,epsg3857_x,epsg3857_y
1,1,925,555,50.128889,8.693281,967731.6142428402,6468627.138338566
1,2,90,570,50.128912,8.693147,967716.6974310736,6468631.132251717
1,3,330,255,50.129156,8.693288,967732.3934792756,6468673.502578976
1,4,985,285,50.12907,8.693503,967756.3271697961,6468658.568750452

2,1,120,350,50.128812,8.693069,967708.0145107919,6468613.767425905
2,2,835,330,50.128955,8.692651,967661.4829636401,6468638.599137971
2,3,1050,865,50.129098,8.693434,967748.6461249315,6468663.430924235
2,4,245,1010,50.129069,8.693505,967756.5498087778,6468658.395101442

3,1,810,290,50.128903,8.693221,967724.9350733923,6468629.569415907
3,2,810,1060,50.129068,8.692875,967686.418529578,6468658.221452435
3,3,20,995,50.129125,8.692962,967696.103325277,6468668.119451648
3,4,115,250,50.128998,8.693393,967744.082025809,6468646.066030935

4,1,450,370,50.128811,8.693068,967707.9031913012,6468613.59377783
4,2,935,150,50.128969,8.69271,967668.0508135972,6468641.030218665
4,3,900,450,50.129228,8.693104,967711.9106929696,6468686.005339772
4,4,100,790,50.129068,8.693504,967756.438489287,6468658.221452435

5,1,15,745,50.128927,8.693267,967730.0557699689,6468633.736978717
5,2,215,285,50.129049,8.692828,967681.1865135108,6468654.922121985
5,3,895,290,50.129178,8.693026,967703.2277726877,6468677.322865002
5,4,1050,845,50.128993,8.693384,967743.0801503918,6468645.1977872215
